Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,150.09023242281285,151.93350926772743,149.66486306224806,151.82952880859375,22622100,0.0,0.0
2020-01-03 00:00:00-05:00,149.6554253847614,151.19620847768044,149.4096455068012,149.93899536132812,21116200,0.0,0.0
2020-01-06 00:00:00-05:00,148.48324631955307,150.392698754351,147.94443465072618,150.32652282714844,20813700,0.0,0.0
2020-01-07 00:00:00-05:00,150.60067989425875,150.931516303683,148.71013667343422,148.95590209960938,21634100,0.0,0.0
2020-01-08 00:00:00-05:00,150.23201839712107,151.99968621410528,149.30565620651117,151.3285369873047,27746500,0.0,0.0
2020-01-09 00:00:00-05:00,152.98281347519972,153.34202144246635,152.21714548072572,153.21913146972656,21385000,0.0,0.0
2020-01-10 00:00:00-05:00,153.9091751273673,154.28727811161113,152.35891539033636,152.51016235351562,20725900,0.0,0.0
2020-01-13 00:00:00-05:00,152.90713146876487,154.3723053588524,152.43449566058825,154.3439483642578,21626500,0.0,0.0
2020-01-14 00:00:00-05:00,154.44801094398764,154.64652443540592,152.86940823612787,153.25697326660156,23477400,0.0,0.0
2020-01-15 00:00:00-05:00,153.7201159716805,154.96788183722586,153.67286391435027,154.2494659423828,21417900,0.0,0.0
2020-01-16 00:00:00-05:00,155.35541857174925,157.1419816102334,155.05292468702913,157.0758056640625,23865400,0.0,0.0
2020-01-17 00:00:00-05:00,158.25740501659007,158.30467149192543,156.37630891838617,157.95492553710938,34371700,0.0,0.0
2020-01-21 00:00:00-05:00,157.55788307477562,158.98525260050442,157.32156514521276,157.3877410888672,29517200,0.0,0.0
2020-01-22 00:00:00-05:00,158.23847448456866,158.3235598983311,156.61260603057121,156.6315155029297,24138800,0.0,0.0
2020-01-23 00:00:00-05:00,157.09472547499433,157.6713418599453,156.22507713475247,157.59571838378906,19680800,0.0,0.0
2020-01-24 00:00:00-05:00,158.3424825375192,158.36139201317255,155.44995298181732,156.00765991210938,24918100,0.0,0.0
2020-01-27 00:00:00-05:00,152.3305352170298,154.4385015834786,151.4325299482661,153.39869689941406,32078100,0.0,0.0
2020-01-28 00:00:00-05:00,154.8165840129865,156.6882177728022,154.14544924333904,156.40464782714844,24899900,0.0,0.0
2020-01-29 00:00:00-05:00,158.65439337526382,159.5145940552649,156.62206505752158,158.84344482421875,34754500,0.0,0.0
2020-01-30 00:00:00-05:00,164.52453468683692,164.52453468683692,161.44293985569806,163.32403564453125,51597500,0.0,0.0
2020-01-31 00:00:00-05:00,162.7852222995759,162.9648117807365,160.29915347194412,160.91357421875,36142700,0.0,0.0
2020-02-03 00:00:00-05:00,161.1027265567368,164.9499911534377,161.07436954596525,164.83656311035156,30107000,0.0,0.0
2020-02-04 00:00:00-05:00,167.44540854870948,170.7538591072496,166.6608313996974,170.26231384277344,36433300,0.0,0.0
2020-02-05 00:00:00-05:00,173.95839049164914,174.11908498739666,168.64596691048436,170.05441284179688,39186300,0.0,0.0
2020-02-06 00:00:00-05:00,171.06580476348907,173.7598346269479,170.20560413495167,173.58023071289062,27751400,0.0,0.0
2020-02-07 00:00:00-05:00,172.8429278537335,175.47078190024337,172.49316753333272,173.8260040283203,33529100,0.0,0.0
2020-02-10 00:00:00-05:00,173.53300042903595,178.50512495189932,173.22105900121804,178.37278747558594,35844300,0.0,0.0
2020-02-11 00:00:00-05:00,180.2160459982191,180.2633124685266,173.45735903159144,174.34591674804688,53159900,0.0,0.0
2020-02-12 00:00:00-05:00,175.42357830793108,175.67880578484775,171.89771781034432,174.6011962890625,47062900,0.0,0.0
2020-02-13 00:00:00-05:00,173.0603579564026,176.03795827229686,172.86184453761513,173.6558837890625,35295800,0.0,0.0
2020-02-14 00:00:00-05:00,173.22103937911754,175.26282971697995,172.65387058847747,175.20611572265625,23149500,0.0,0.0
2020-02-18 00:00:00-05:00,175.45186467568067,177.42747888527302,175.34788422129685,176.9832000732422,27792200,0.0,0.0
2020-02-19 00:00:00-05:00,178.25337813017842,178.36711595467847,176.7462941031497,177.51405334472656,29997500,0.51,0.0
2020-02-20 00:00:00-05:00,177.20121463746398,177.48557358923838,171.65628016179997,174.8031463623047,36862400,0.0,0.0
2020-02-21 00:00:00-05:00,173.6183629039544,173.9311563648692,168.00707065761887,169.27719116210938,48572600,0.0,0.0
2020-02-24 00:00:00-05:00,159.0214301307952,165.44787749750017,154.7181659403322,161.97872924804688,68311100,0.0,0.0
2020-02-25 00:00:00-05:00,165.1160881339019,165.72271383699095,158.90764439039998,159.30575561523438,68073300,0.0,0.0
2020-02-26 00:00:00-05:00,160.86024482213514,164.2251136153781,159.43846438675976,161.29624938964844,56206100,0.0,0.0
2020-02-27 00:00:00-05:00,154.80342256903037,158.3199505459599,149.74187447539552,149.9314422607422,93174900,0.0,0.0
2020-02-28 00:00:00-05:00,144.4623810412788,155.17313038454182,144.0737575661736,153.561767578125,97012700,0.0,0.0
2020-03-02 00:00:00-05:00,156.68969102388243,163.9028581761286,153.84612995671205,163.77963256835938,71030800,0.0,0.0
2020-03-03 00:00:00-05:00,164.7369648639986,165.8743863348176,153.79872580292735,155.931396484375,71677000,0.0,0.0
2020-03-04 00:00:00-05:00,159.70388716783967,161.79863590353253,156.98353700870763,161.65646362304688,49814400,0.0,0.0
2020-03-05 00:00:00-05:00,157.39109568141728,161.95974258543,157.0498678014542,157.59962463378906,47817300,0.0,0.0
2020-03-06 00:00:00-05:00,154.1304911008303,154.60441795195356,147.86517755045685,153.1447296142578,72821100,0.0,0.0
2020-03-09 00:00:00-04:00,143.1259514709303,149.52396585787585,142.17809748767908,142.76576232910156,70419300,0.0,0.0
2020-03-10 00:00:00-04:00,149.91253931749316,152.63287471129829,144.6235141245197,152.5286102294922,65354400,0.0,0.0
2020-03-11 00:00:00-04:00,148.9362468910333,149.47651594433142,143.2680717176468,145.61875915527344,56371600,0.0,0.0
2020-03-12 00:00:00-04:00,137.72314498743467,145.4671079518946,131.35356699021355,131.80853271484375,93226400,0.0,0.0
