Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,71.34404690340438,72.39407791515757,71.09117632272992,72.33386993408203,135480400,0.0,0.0
2020-01-03 00:00:00-05:00,71.56320547713457,72.38925722098051,71.40666619485818,71.6306381225586,146322800,0.0,0.0
2020-01-06 00:00:00-05:00,70.75402098693286,72.23995000976231,70.50355369984423,72.201416015625,118387200,0.0,0.0
2020-01-07 00:00:00-05:00,72.2110641639823,72.46634548952974,71.64270418623039,71.86186218261719,108872000,0.0,0.0
2020-01-08 00:00:00-05:00,71.56560624404386,73.31886213203573,71.56560624404386,73.017822265625,132079200,0.0,0.0
2020-01-09 00:00:00-05:00,73.99320996049889,74.76146451044018,73.74275001069596,74.56880187988281,170108400,0.0,0.0
2020-01-10 00:00:00-05:00,74.8024026801614,75.30092656417412,74.23644614635045,74.73737335205078,140644800,0.0,0.0
2020-01-13 00:00:00-05:00,75.05286332420356,76.36057889021191,74.93485068528152,76.3340835571289,121532000,0.0,0.0
2020-01-14 00:00:00-05:00,76.2714631183451,76.48098568839895,75.18049494182533,75.30331420898438,161954400,0.0,0.0
2020-01-15 00:00:00-05:00,75.10341742145754,75.98245224534158,74.54949973066661,74.9805908203125,121923600,0.0,0.0
2020-01-16 00:00:00-05:00,75.52248200660513,76.03064118697364,75.16123412136378,75.91985321044922,108829200,0.0,0.0
2020-01-17 00:00:00-05:00,76.16790133072386,76.76275640961391,75.86204746774389,76.7603530883789,137816400,0.0,0.0
2020-01-21 00:00:00-05:00,76.3894803308505,76.83019952815127,76.10288974668396,76.24016571044922,110843200,0.0,0.0
2020-01-22 00:00:00-05:00,76.72423213565071,77.06380603496487,76.4183782339569,76.5123062133789,101832400,0.0,0.0
2020-01-23 00:00:00-05:00,76.56528622859716,76.96024675038308,76.01859307367198,76.88077545166016,104472000,0.0,0.0
2020-01-24 00:00:00-05:00,77.12641705620177,77.8681760847734,76.46894331412666,76.6592025756836,146537600,0.0,0.0
2020-01-27 00:00:00-05:00,74.67236453066312,75.08418516629278,73.42485661478304,74.40504455566406,161940000,0.0,0.0
2020-01-28 00:00:00-05:00,75.28406920782065,76.68089158109271,75.18532722614749,76.50990295410156,162234000,0.0,0.0
2020-01-29 00:00:00-05:00,78.13793027321145,78.95675744540253,77.39857441186852,78.11143493652344,216229200,0.0,0.0
2020-01-30 00:00:00-05:00,77.19626294921763,78.05121329496869,76.76517176985938,77.99822998046875,126743200,0.0,0.0
2020-01-31 00:00:00-05:00,77.29019858022654,77.71165450707113,74.24608645041388,74.53990173339844,199588400,0.0,0.0
2020-02-03 00:00:00-05:00,73.28514366287956,75.498389394716,72.78421654858387,74.33517456054688,173788400,0.0,0.0
2020-02-04 00:00:00-05:00,75.93672133535755,76.97952779146334,75.53212542449515,76.78926849365234,136616400,0.0,0.0
2020-02-05 00:00:00-05:00,77.91394467954083,78.21258127557842,76.81334832632962,77.4154281616211,118826800,0.0,0.0
